Dataset name: Exchange Rates; Frequency: Daily; Currency: UK pound sterling; Currency denominator: Euro; Exchange rate type: Spot; Series variation - EXR context: Average or standardised measure for given frequency
,EXR.D.GBP.EUR.SP00.A
,"ECB reference exchange rate, UK pound sterling/Euro, 2:15 pm (C.E.T.)"
Period\Unit:,[UK pound sterling ]
2011-06-24,0.88855
2011-06-23,0.88960
2011-06-22,0.89310
2011-06-21,0.88670
2011-06-20,0.87950
2011-06-17,0.88260
2011-06-16,0.87530
2011-06-15,0.87970
2011-06-14,0.88100
2011-06-13,0.88060
2011-06-10,0.88840
2011-06-09,0.88940
2011-06-08,0.89290
2011-06-07,0.89245
2011-06-06,0.89030
2011-06-03,0.88750
2011-06-02,0.88295
2011-06-01,0.87705
2011-05-31,0.87205
2011-05-30,0.86710
2011-05-27,0.86685
2011-05-26,0.86850
2011-05-25,0.86720
2011-05-24,0.87285
2011-05-23,0.86975
2011-05-20,0.87705
2011-05-19,0.88130
2011-05-18,0.88065
2011-05-17,0.87290
2011-05-16,0.87250
2011-05-13,0.87795
2011-05-12,0.87015
2011-05-11,0.87075
2011-05-10,0.87790
2011-05-09,0.87925
2011-05-06,0.88390
2011-05-05,0.89865
2011-05-04,0.89990
2011-05-03,0.89695
2011-05-02,0.88920
2011-04-29,0.89170
2011-04-28,0.88880
2011-04-27,0.88640
2011-04-26,0.88715
2011-04-21,0.88130
2011-04-20,0.88670
2011-04-19,0.87800
2011-04-18,0.87750
2011-04-15,0.88380
2011-04-14,0.88250
2011-04-13,0.88980
2011-04-12,0.88845
2011-04-11,0.88360
2011-04-08,0.88095
2011-04-07,0.87590
2011-04-06,0.87750
2011-04-05,0.87285
2011-04-04,0.88095
2011-04-01,0.88150
2011-03-31,0.88370
2011-03-30,0.87890
2011-03-29,0.88145
2011-03-28,0.87825
2011-03-25,0.87780
2011-03-24,0.87410
2011-03-23,0.86990
2011-03-22,0.86780
2011-03-21,0.87170
2011-03-18,0.87380
2011-03-17,0.86745
2011-03-16,0.86730
2011-03-15,0.86740
2011-03-14,0.86590
2011-03-11,0.86120
2011-03-10,0.85655
2011-03-09,0.85900
2011-03-08,0.86050
2011-03-07,0.86100
2011-03-04,0.85805
2011-03-03,0.85130
2011-03-02,0.84780
2011-03-01,0.84940
2011-02-28,0.85280
2011-02-25,0.85530
2011-02-24,0.85130
2011-02-23,0.84590
2011-02-22,0.84584
2011-02-21,0.84250
2011-02-18,0.83950
2011-02-17,0.84090
2011-02-16,0.84190
2011-02-15,0.83750
2011-02-14,0.84000
2011-02-11,0.84570
2011-02-10,0.84780
2011-02-09,0.85000
2011-02-08,0.84860
2011-02-07,0.84020
2011-02-04,0.84720
2011-02-03,0.84865
2011-02-02,0.85190
2011-02-01,0.85360
2011-01-31,0.86090
2011-01-28,0.86090
2011-01-27,0.85955
2011-01-26,0.86325
2011-01-25,0.86200
2011-01-24,0.85160
2011-01-21,0.84825
2011-01-20,0.84360
2011-01-19,0.84330
2011-01-18,0.83565
2011-01-17,0.83610
2011-01-14,0.84220
2011-01-13,0.83575
2011-01-12,0.83155
2011-01-11,0.83190
2011-01-10,0.83180
2011-01-07,0.83830
2011-01-06,0.84450
2011-01-05,0.84830
2011-01-04,0.85875
2011-01-03,0.86131
2010-12-31,0.86075
2010-12-30,0.86020
2010-12-29,0.85390
2010-12-28,0.85345
2010-12-27,0.85230
2010-12-24,0.84960
2010-12-23,0.84820
2010-12-22,0.84920
2010-12-21,0.85030
2010-12-20,0.84620
2010-12-17,0.85185
2010-12-16,0.84795
2010-12-15,0.85290
2010-12-14,0.84865
2010-12-13,0.84375
2010-12-10,0.83715
2010-12-09,0.83820
2010-12-08,0.83670
2010-12-07,0.84670
2010-12-06,0.84720
2010-12-03,0.84800
2010-12-02,0.84450
2010-12-01,0.83930
2010-11-30,0.83765
2010-11-29,0.84400
2010-11-26,0.84470
2010-11-25,0.84645
2010-11-24,0.84380
2010-11-23,0.84795
2010-11-22,0.85490
2010-11-19,0.85520
2010-11-18,0.85220
2010-11-17,0.84895
2010-11-16,0.85100
2010-11-15,0.84790
2010-11-12,0.85070
2010-11-11,0.84910
2010-11-10,0.85685
2010-11-09,0.86235
2010-11-08,0.86270
2010-11-05,0.86790
2010-11-04,0.87585
2010-11-03,0.87030
2010-11-02,0.87490
2010-11-01,0.86675
2010-10-29,0.86860
2010-10-28,0.87040
2010-10-27,0.87235
2010-10-26,0.87685
2010-10-25,0.89255
2010-10-22,0.88730
2010-10-21,0.89020
2010-10-20,0.88200
2010-10-19,0.88060
2010-10-18,0.87470
2010-10-15,0.87750
2010-10-14,0.87920
2010-10-13,0.88120
2010-10-12,0.87360
2010-10-11,0.87460
2010-10-08,0.87510
2010-10-07,0.87465
2010-10-06,0.87260
2010-10-05,0.86670
2010-10-04,0.86560
2010-10-01,0.86760
2010-09-30,0.85995
2010-09-29,0.86180
2010-09-28,0.84985
2010-09-27,0.85040
2010-09-24,0.85345
2010-09-23,0.85050
2010-09-22,0.85530
2010-09-21,0.84545
2010-09-20,0.83830
2010-09-17,0.83575
2010-09-16,0.83720
2010-09-15,0.83550
2010-09-14,0.83430
2010-09-13,0.83120
2010-09-10,0.82340
2010-09-09,0.82580
2010-09-08,0.82205
2010-09-07,0.83160
2010-09-06,0.83825
2010-09-03,0.83320
2010-09-02,0.83275
2010-09-01,0.83105
2010-08-31,0.82480
2010-08-30,0.81650
2010-08-27,0.82060
2010-08-26,0.81745
2010-08-25,0.81850
2010-08-24,0.81930
2010-08-23,0.81690
2010-08-20,0.81910
2010-08-19,0.82055
2010-08-18,0.82330
2010-08-17,0.82300
2010-08-16,0.82110
2010-08-13,0.82120
2010-08-12,0.82060
2010-08-11,0.82780
2010-08-10,0.83520
2010-08-09,0.83040
2010-08-06,0.83010
2010-08-05,0.82930
2010-08-04,0.82840
2010-08-03,0.82980
2010-08-02,0.82600
2010-07-30,0.83490
2010-07-29,0.83670
2010-07-28,0.83395
2010-07-27,0.83820
2010-07-26,0.83425
2010-07-23,0.83720
2010-07-22,0.84280
2010-07-21,0.83945
2010-07-20,0.84745
2010-07-19,0.84830
2010-07-16,0.84535
2010-07-15,0.83565
2010-07-14,0.83430
2010-07-13,0.83180
2010-07-12,0.83630
2010-07-09,0.83600
2010-07-08,0.83560
2010-07-07,0.83190
2010-07-06,0.82950
2010-07-05,0.82750
2010-07-02,0.82520
2010-07-01,0.82215
2010-06-30,0.81745
2010-06-29,0.81040
2010-06-28,0.82000
2010-06-25,0.82360
2010-06-24,0.81850
2010-06-23,0.82290
2010-06-22,0.83400
2010-06-21,0.83410
2010-06-18,0.83570
2010-06-17,0.83490
2010-06-16,0.83085
2010-06-15,0.83200
2010-06-14,0.83080
2010-06-11,0.82930
2010-06-10,0.82520
2010-06-09,0.82590
2010-06-08,0.82805
2010-06-07,0.82460
2010-06-04,0.82745
2010-06-03,0.83570
2010-06-02,0.83345
2010-06-01,0.83470
2010-05-31,0.84863
2010-05-28,0.84995
2010-05-27,0.84625
2010-05-26,0.85470
2010-05-25,0.85205
2010-05-24,0.86080
2010-05-21,0.87035
2010-05-20,0.86440
2010-05-19,0.85805
2010-05-18,0.85895
2010-05-17,0.85540
2010-05-14,0.85710
2010-05-13,0.85300
2010-05-12,0.84940
2010-05-11,0.85960
2010-05-10,0.86405
2010-05-07,0.86805
2010-05-06,0.84295
2010-05-05,0.85510
2010-05-04,0.86325
2010-05-03,0.86800
2010-04-30,0.87030
2010-04-29,0.86785
2010-04-28,0.87080
2010-04-27,0.86705
2010-04-26,0.86240
2010-04-23,0.86730
2010-04-22,0.86675
2010-04-21,0.86900
2010-04-20,0.87650
2010-04-19,0.88050
2010-04-16,0.87710
2010-04-15,0.87735
2010-04-14,0.88140
2010-04-13,0.88120
2010-04-12,0.88250
2010-04-09,0.87200
2010-04-08,0.87500
2010-04-07,0.87885
2010-04-06,0.88240
2010-04-01,0.88485
2010-03-31,0.88980
2010-03-30,0.89330
2010-03-29,0.89940
2010-03-26,0.90040
2010-03-25,0.89440
2010-03-24,0.89460
2010-03-23,0.90050
2010-03-22,0.89900
2010-03-19,0.89450
2010-03-18,0.89400
2010-03-17,0.89620
2010-03-16,0.90690
2010-03-15,0.91050
2010-03-12,0.90830
2010-03-11,0.90860
2010-03-10,0.91140
2010-03-09,0.90640
2010-03-08,0.90240
2010-03-05,0.90250
2010-03-04,0.90500
2010-03-03,0.90570
2010-03-02,0.90635
2010-03-01,0.90670
2010-02-26,0.89270
2010-02-25,0.88090
2010-02-24,0.87750
2010-02-23,0.88020
2010-02-22,0.87970
2010-02-19,0.87830
2010-02-18,0.87040
2010-02-17,0.86900
2010-02-16,0.87050
2010-02-15,0.86760
2010-02-12,0.86910
2010-02-11,0.87750
2010-02-10,0.87980
2010-02-09,0.88040
2010-02-08,0.87610
2010-02-05,0.87325
2010-02-04,0.87310
2010-02-03,0.87620
2010-02-02,0.87375
2010-02-01,0.87485
2010-01-29,0.86655
2010-01-28,0.86160
2010-01-27,0.86725
2010-01-26,0.87330
2010-01-25,0.87730
2010-01-22,0.87630
2010-01-21,0.87000
2010-01-20,0.86920
2010-01-19,0.87430
2010-01-18,0.87950
2010-01-15,0.88105
2010-01-14,0.89050
2010-01-13,0.89460
2010-01-12,0.89720
2010-01-11,0.89890
2010-01-08,0.89340
2010-01-07,0.89960
2010-01-06,0.89860
2010-01-05,0.90045
2010-01-04,0.89140
2009-12-31,0.88810
2009-12-30,0.90400
2009-12-29,0.90270
2009-12-28,0.90143
2009-12-24,0.90080
2009-12-23,0.89470
2009-12-22,0.89305
2009-12-21,0.89180
2009-12-18,0.88700
2009-12-17,0.88995
2009-12-16,0.88945
2009-12-15,0.89600
2009-12-14,0.90060
2009-12-11,0.90515
2009-12-10,0.90430
2009-12-09,0.90460
2009-12-08,0.90700
2009-12-07,0.90505
2009-12-04,0.90480
2009-12-03,0.90915
2009-12-02,0.90430
2009-12-01,0.90985
2009-11-30,0.91155
2009-11-27,0.90910
2009-11-26,0.91100
2009-11-25,0.90310
2009-11-24,0.90310
2009-11-23,0.90075
2009-11-20,0.89915
2009-11-19,0.89385
2009-11-18,0.88950
2009-11-17,0.88625
2009-11-16,0.89485
2009-11-13,0.89125
2009-11-12,0.90200
2009-11-11,0.90290
2009-11-10,0.89860
2009-11-09,0.89365
2009-11-06,0.89600
2009-11-05,0.89530
2009-11-04,0.89360
2009-11-03,0.89860
2009-11-02,0.90330
2009-10-30,0.89375
2009-10-29,0.89750
2009-10-28,0.90570
2009-10-27,0.90775
2009-10-26,0.91940
2009-10-23,0.91720
2009-10-22,0.90530
2009-10-21,0.90010
2009-10-20,0.91170
2009-10-19,0.91430
2009-10-16,0.91175
2009-10-15,0.91470
2009-10-14,0.93025
2009-10-13,0.94080
2009-10-12,0.93330
2009-10-09,0.92285
2009-10-08,0.92000
2009-10-07,0.92490
2009-10-06,0.92605
2009-10-05,0.91710
2009-10-02,0.91720
2009-10-01,0.91085
2009-09-30,0.90930
2009-09-29,0.91180
2009-09-28,0.92265
2009-09-25,0.91875
2009-09-24,0.91065
2009-09-23,0.89940
2009-09-22,0.90470
2009-09-21,0.90660
2009-09-18,0.90030
2009-09-17,0.89050
2009-09-16,0.88970
2009-09-15,0.88690
2009-09-14,0.87900
2009-09-11,0.87390
2009-09-10,0.87575
2009-09-09,0.87930
2009-09-08,0.87365
2009-09-07,0.87350
2009-09-04,0.87200
2009-09-03,0.87470
2009-09-02,0.87510
2009-09-01,0.88150
2009-08-31,0.88135
2009-08-28,0.87840
2009-08-27,0.88040
2009-08-26,0.87800
2009-08-25,0.87405
2009-08-24,0.86820
2009-08-21,0.86570
2009-08-20,0.86380
2009-08-19,0.86080
2009-08-18,0.85660
2009-08-17,0.86290
2009-08-14,0.86160
2009-08-13,0.85865
2009-08-12,0.85965
2009-08-11,0.85840
2009-08-10,0.85355
2009-08-07,0.85670
2009-08-06,0.85240
2009-08-05,0.84695
2009-08-04,0.84845
2009-08-03,0.84920
2009-07-31,0.85560
2009-07-30,0.85240
2009-07-29,0.86110
2009-07-28,0.86220
2009-07-27,0.86530
2009-07-24,0.86700
2009-07-23,0.86170
2009-07-22,0.86480
2009-07-21,0.86530
2009-07-20,0.86010
2009-07-17,0.86530
2009-07-16,0.85910
2009-07-15,0.85760
2009-07-14,0.85755
2009-07-13,0.86780
2009-07-10,0.85800
2009-07-09,0.86060
2009-07-08,0.86495
2009-07-07,0.86380
2009-07-06,0.86120
2009-07-03,0.85625
2009-07-02,0.85730
2009-07-01,0.85620
2009-06-30,0.85210
2009-06-29,0.84865
2009-06-26,0.85430
2009-06-25,0.85670
2009-06-24,0.84930
2009-06-23,0.85735
2009-06-22,0.84255
2009-06-19,0.84715
2009-06-18,0.85830
2009-06-17,0.85220
2009-06-16,0.84370
2009-06-15,0.84720
2009-06-12,0.85380
2009-06-11,0.85070
2009-06-10,0.85830
2009-06-09,0.86320
2009-06-08,0.87090
2009-06-05,0.87920
2009-06-04,0.86890
2009-06-03,0.85970
2009-06-02,0.86520
2009-06-01,0.86800
2009-05-29,0.87290
2009-05-28,0.87000
2009-05-27,0.87060
2009-05-26,0.87600
2009-05-25,0.88030
2009-05-22,0.87810
2009-05-21,0.87900
2009-05-20,0.88260
2009-05-19,0.87940
2009-05-18,0.88250
2009-05-15,0.89050
2009-05-14,0.89810
2009-05-13,0.89980
2009-05-12,0.89340
2009-05-11,0.89860
2009-05-08,0.89070
2009-05-07,0.88470
2009-05-06,0.88610
2009-05-05,0.88590
2009-05-04,0.88970
2009-04-30,0.89335
2009-04-29,0.89875
2009-04-28,0.89035
2009-04-27,0.90075
2009-04-24,0.90600
2009-04-23,0.89680
2009-04-22,0.88820
2009-04-21,0.88860
2009-04-20,0.88960
2009-04-17,0.88280
2009-04-16,0.88560
2009-04-15,0.88210
2009-04-14,0.89150
2009-04-09,0.90440
2009-04-08,0.89935
2009-04-07,0.90505
2009-04-06,0.90520
2009-04-03,0.90930
2009-04-02,0.91290
2009-04-01,0.92060
2009-03-31,0.93080
2009-03-30,0.92910
2009-03-27,0.92850
2009-03-26,0.93160
2009-03-25,0.92425
2009-03-24,0.92060
2009-03-23,0.92945
2009-03-20,0.93950
2009-03-19,0.94050
2009-03-18,0.93910
2009-03-17,0.92650
2009-03-16,0.92055
2009-03-13,0.92200
2009-03-12,0.93080
2009-03-11,0.92550
2009-03-10,0.92290
2009-03-09,0.91140
2009-03-06,0.89000
2009-03-05,0.89030
2009-03-04,0.89020
2009-03-03,0.89575
2009-03-02,0.89330
2009-02-27,0.89310
2009-02-26,0.89130
2009-02-25,0.88840
2009-02-24,0.87970
2009-02-23,0.87800
2009-02-20,0.88100
2009-02-19,0.88230
2009-02-18,0.88460
2009-02-17,0.88510
2009-02-16,0.89450
2009-02-13,0.88415
2009-02-12,0.90300
2009-02-11,0.90000
2009-02-10,0.87710
2009-02-09,0.87100
2009-02-06,0.87060
2009-02-05,0.87800
2009-02-04,0.89010
2009-02-03,0.90290
2009-02-02,0.90335
2009-01-30,0.89785
2009-01-29,0.91725
2009-01-28,0.92725
2009-01-27,0.93520
2009-01-26,0.93950
2009-01-23,0.93870
2009-01-22,0.94410
2009-01-21,0.93860
2009-01-20,0.93110
2009-01-19,0.90470
2009-01-16,0.88930
2009-01-15,0.89660
2009-01-14,0.90830
2009-01-13,0.91120
2009-01-12,0.89560
2009-01-09,0.89480
2009-01-08,0.89330
2009-01-07,0.90430
2009-01-06,0.91760
2009-01-05,0.93580
2009-01-02,0.96100
2008-12-31,0.95250
2008-12-30,0.97420
2008-12-29,0.97855
2008-12-24,0.94930
2008-12-23,0.94395
2008-12-22,0.94320
2008-12-19,0.92870
2008-12-18,0.95090
2008-12-17,0.91855
2008-12-16,0.89360
2008-12-15,0.89940
2008-12-12,0.89235
2008-12-11,0.88690
2008-12-10,0.87325
2008-12-09,0.87110
2008-12-08,0.86510
2008-12-05,0.86660
2008-12-04,0.86260
2008-12-03,0.85475
2008-12-02,0.84695
2008-12-01,0.84155
2008-11-28,0.82990
2008-11-27,0.83580
2008-11-26,0.84560
2008-11-25,0.85375
2008-11-24,0.85170
2008-11-21,0.84100
2008-11-20,0.84210
2008-11-19,0.83980
2008-11-18,0.84210
2008-11-17,0.84825
2008-11-14,0.85980
2008-11-13,0.84420
2008-11-12,0.82310
2008-11-11,0.81470
2008-11-10,0.81650
2008-11-07,0.80845
2008-11-06,0.80500
2008-11-05,0.80650
2008-11-04,0.80750
2008-11-03,0.79690
2008-10-31,0.78690
2008-10-30,0.79070
2008-10-29,0.79580
2008-10-28,0.79790
2008-10-27,0.80630
2008-10-24,0.80610
2008-10-23,0.79170
2008-10-22,0.78815
2008-10-21,0.77700
2008-10-20,0.77165
2008-10-17,0.77510
2008-10-16,0.78265
2008-10-15,0.77615
2008-10-14,0.78105
2008-10-13,0.78540
2008-10-10,0.79800
2008-10-09,0.78950
2008-10-08,0.78090
2008-10-07,0.77725
2008-10-06,0.77280
2008-10-03,0.78355
2008-10-02,0.78720
2008-10-01,0.79190
2008-09-30,0.79030
2008-09-29,0.79590
2008-09-26,0.79475
2008-09-25,0.79200
2008-09-24,0.79235
2008-09-23,0.79505
2008-09-22,0.79200
2008-09-19,0.78730
2008-09-18,0.79440
2008-09-17,0.79515
2008-09-16,0.79750
2008-09-15,0.79395
2008-09-12,0.79620
2008-09-11,0.79410
2008-09-10,0.80200
2008-09-09,0.80300
2008-09-08,0.80720
2008-09-05,0.80930
2008-09-04,0.81300
2008-09-03,0.81330
2008-09-02,0.81295
2008-09-01,0.81165
2008-08-29,0.80500
2008-08-28,0.80470
2008-08-27,0.79970
2008-08-26,0.79530
2008-08-25,0.79660
2008-08-22,0.79660
2008-08-21,0.79360
2008-08-20,0.79315
2008-08-19,0.78850
2008-08-18,0.78810
2008-08-15,0.79070
2008-08-14,0.79530
2008-08-13,0.79420
2008-08-12,0.78440
2008-08-11,0.78165
2008-08-08,0.78410
2008-08-07,0.79255
2008-08-06,0.79205
2008-08-05,0.79285
2008-08-04,0.79165
2008-08-01,0.78785
2008-07-31,0.78895
2008-07-30,0.78670
2008-07-29,0.78975
2008-07-28,0.79250
2008-07-25,0.78880
2008-07-24,0.78900
2008-07-23,0.78720
2008-07-22,0.79355
2008-07-21,0.79460
2008-07-18,0.79315
2008-07-17,0.79140
2008-07-16,0.79395
2008-07-15,0.79555
2008-07-14,0.79750
2008-07-11,0.79915
2008-07-10,0.79565
2008-07-09,0.79655
2008-07-08,0.79440
2008-07-07,0.79630
2008-07-04,0.79080
2008-07-03,0.79920
2008-07-02,0.79520
2008-07-01,0.79090
2008-06-30,0.79225
2008-06-27,0.79235
2008-06-26,0.79195
2008-06-25,0.79070
2008-06-24,0.79095
2008-06-23,0.79155
2008-06-20,0.78965
2008-06-19,0.78630
2008-06-18,0.79330
2008-06-17,0.79440
2008-06-16,0.78730
2008-06-13,0.78835
2008-06-12,0.79120
2008-06-11,0.79145
2008-06-10,0.79335
2008-06-09,0.79740
2008-06-06,0.79710
2008-06-05,0.78970
2008-06-04,0.79020
2008-06-03,0.79105
2008-06-02,0.79150
2008-05-30,0.78600
2008-05-29,0.78660
2008-05-28,0.79315
2008-05-27,0.79700
2008-05-26,0.79655
2008-05-23,0.79440
2008-05-22,0.79405
2008-05-21,0.80145
2008-05-20,0.79640
2008-05-19,0.79760
2008-05-16,0.79585
2008-05-15,0.79720
2008-05-14,0.79510
2008-05-13,0.79380
2008-05-12,0.78885
2008-05-09,0.79380
2008-05-08,0.78505
2008-05-07,0.78865
2008-05-06,0.78810
2008-05-05,0.78520
2008-05-02,0.77900
2008-04-30,0.79015
2008-04-29,0.78895
2008-04-28,0.78470
2008-04-25,0.78605
2008-04-24,0.79800
2008-04-23,0.80345
2008-04-22,0.79980
2008-04-21,0.80070
2008-04-18,0.79070
2008-04-17,0.80170
2008-04-16,0.80610
2008-04-15,0.80490
2008-04-14,0.79860
2008-04-11,0.80170
2008-04-10,0.80110
2008-04-09,0.79770
2008-04-08,0.79740
2008-04-07,0.78935
2008-04-04,0.78550
2008-04-03,0.78320
2008-04-02,0.78850
2008-04-01,0.78880
2008-03-31,0.79580
2008-03-28,0.79080
2008-03-27,0.78290
2008-03-26,0.78810
2008-03-25,0.78105
2008-03-20,0.77830
2008-03-19,0.78590
2008-03-18,0.78170
2008-03-17,0.78570
2008-03-14,0.76755
2008-03-13,0.76580
2008-03-12,0.76660
2008-03-11,0.76455
2008-03-10,0.76050
2008-03-07,0.76470
2008-03-06,0.76380
2008-03-05,0.76850
2008-03-04,0.76560
