Dataset name: Exchange Rates; Frequency: Daily; Currency: Norwegian krone; Currency denominator: Euro; Exchange rate type: Spot; Series variation - EXR context: Average or standardised measure for given frequency
,EXR.D.NOK.EUR.SP00.A
,"ECB reference exchange rate, Norwegian krone/Euro, 2:15 pm (C.E.T.)"
Period\Unit:,[Norwegian krone ]
2011-06-24,7.7825
2011-06-23,7.8030
2011-06-22,7.8665
2011-06-21,7.9120
2011-06-20,7.9265
2011-06-17,7.8695
2011-06-16,7.8785
2011-06-15,7.8200
2011-06-14,7.7965
2011-06-13,7.8660
2011-06-10,7.8555
2011-06-09,7.8730
2011-06-08,7.8855
2011-06-07,7.8395
2011-06-06,7.8235
2011-06-03,7.7965
2011-06-02,7.7596
2011-06-01,7.7310
2011-05-31,7.7590
2011-05-30,7.7485
2011-05-27,7.7690
2011-05-26,7.7900
2011-05-25,7.8240
2011-05-24,7.8385
2011-05-23,7.8475
2011-05-20,7.8280
2011-05-19,7.8725
2011-05-18,7.9360
2011-05-17,7.9385
2011-05-16,7.8670
2011-05-13,7.8405
2011-05-12,7.8010
2011-05-11,7.7890
2011-05-10,7.8035
2011-05-09,7.8665
2011-05-06,7.9450
2011-05-05,7.9300
2011-05-04,7.8710
2011-05-03,7.7995
2011-05-02,7.7800
2011-04-29,7.7820
2011-04-28,7.8090
2011-04-27,7.7885
2011-04-26,7.7800
2011-04-21,7.7842
2011-04-20,7.7895
2011-04-19,7.7635
2011-04-18,7.7880
2011-04-15,7.8080
2011-04-14,7.8580
2011-04-13,7.8620
2011-04-12,7.8770
2011-04-11,7.8125
2011-04-08,7.8020
2011-04-07,7.8175
2011-04-06,7.7850
2011-04-05,7.7910
2011-04-04,7.8205
2011-04-01,7.8055
2011-03-31,7.8330
2011-03-30,7.8675
2011-03-29,7.9040
2011-03-28,7.8745
2011-03-25,7.8840
2011-03-24,7.8830
2011-03-23,7.8910
2011-03-22,7.9060
2011-03-21,7.8795
2011-03-18,7.8830
2011-03-17,7.8985
2011-03-16,7.8690
2011-03-15,7.9140
2011-03-14,7.8290
2011-03-11,7.8055
2011-03-10,7.7820
2011-03-09,7.7510
2011-03-08,7.7550
2011-03-07,7.7600
2011-03-04,7.7800
2011-03-03,7.7145
2011-03-02,7.7020
2011-03-01,7.7120
2011-02-28,7.7090
2011-02-25,7.7640
2011-02-24,7.7190
2011-02-23,7.7390
2011-02-22,7.7515
2011-02-21,7.7690
2011-02-18,7.7555
2011-02-17,7.8075
2011-02-16,7.8275
2011-02-15,7.8335
2011-02-14,7.8770
2011-02-11,7.9300
2011-02-10,7.9320
2011-02-09,7.8685
2011-02-08,7.8590
2011-02-07,7.8385
2011-02-04,7.8075
2011-02-03,7.8585
2011-02-02,7.8840
2011-02-01,7.8820
2011-01-31,7.9270
2011-01-28,7.9330
2011-01-27,7.9230
2011-01-26,7.8665
2011-01-25,7.8480
2011-01-24,7.8830
2011-01-21,7.8920
2011-01-20,7.8745
2011-01-19,7.8260
2011-01-18,7.8200
2011-01-17,7.7860
2011-01-14,7.8500
2011-01-13,7.7970
2011-01-12,7.7060
2011-01-11,7.7260
2011-01-10,7.7085
2011-01-07,7.7260
2011-01-06,7.7475
2011-01-05,7.7895
2011-01-04,7.8090
2011-01-03,7.7800
2010-12-31,7.8000
2010-12-30,7.8190
2010-12-29,7.8090
2010-12-28,7.8255
2010-12-27,7.8350
2010-12-24,7.8260
2010-12-23,7.8370
2010-12-22,7.8715
2010-12-21,7.8620
2010-12-20,7.8605
2010-12-17,7.8925
2010-12-16,7.8950
2010-12-15,7.8660
2010-12-14,7.8960
2010-12-13,7.9265
2010-12-10,7.9375
2010-12-09,7.9550
2010-12-08,7.9625
2010-12-07,7.9660
2010-12-06,7.9785
2010-12-03,8.0050
2010-12-02,8.0600
2010-12-01,8.0600
2010-11-30,8.0910
2010-11-29,8.1285
2010-11-26,8.1770
2010-11-25,8.1275
2010-11-24,8.1445
2010-11-23,8.2070
2010-11-22,8.2070
2010-11-19,8.2000
2010-11-18,8.1620
2010-11-17,8.1850
2010-11-16,8.1670
2010-11-15,8.1355
2010-11-12,8.1330
2010-11-11,8.0910
2010-11-10,8.0760
2010-11-09,8.0770
2010-11-08,8.0850
2010-11-05,8.1190
2010-11-04,8.1480
2010-11-03,8.2080
2010-11-02,8.2030
2010-11-01,8.1455
2010-10-29,8.1920
2010-10-28,8.1500
2010-10-27,8.1450
2010-10-26,8.1200
2010-10-25,8.0935
2010-10-22,8.1430
2010-10-21,8.1385
2010-10-20,8.1585
2010-10-19,8.1690
2010-10-18,8.1500
2010-10-15,8.0925
2010-10-14,8.0695
2010-10-13,8.1350
2010-10-12,8.1240
2010-10-11,8.1235
2010-10-08,8.1000
2010-10-07,8.0830
2010-10-06,8.0340
2010-10-05,8.0410
2010-10-04,8.0300
2010-10-01,8.0400
2010-09-30,7.9680
2010-09-29,7.9670
2010-09-28,7.9670
2010-09-27,7.9145
2010-09-24,7.9475
2010-09-23,7.9195
2010-09-22,7.8965
2010-09-21,7.9295
2010-09-20,7.9540
2010-09-17,7.9650
2010-09-16,7.9555
2010-09-15,7.8970
2010-09-14,7.8780
2010-09-13,7.8520
2010-09-10,7.8760
2010-09-09,7.8725
2010-09-08,7.8810
2010-09-07,7.8910
2010-09-06,7.8800
2010-09-03,7.8890
2010-09-02,7.9010
2010-09-01,7.9425
2010-08-31,8.0245
2010-08-30,7.9650
2010-08-27,7.9785
2010-08-26,8.0040
2010-08-25,8.0165
2010-08-24,7.9410
2010-08-23,7.9030
2010-08-20,7.9640
2010-08-19,7.8945
2010-08-18,7.9300
2010-08-17,7.9065
2010-08-16,7.9540
2010-08-13,7.9260
2010-08-12,7.9645
2010-08-11,7.9665
2010-08-10,7.8980
2010-08-09,7.8975
2010-08-06,7.8775
2010-08-05,7.8765
2010-08-04,7.8870
2010-08-03,7.8815
2010-08-02,7.8595
2010-07-30,7.9405
2010-07-29,7.9705
2010-07-28,7.9810
2010-07-27,7.9995
2010-07-26,8.0020
2010-07-23,7.9660
2010-07-22,7.9750
2010-07-21,8.0135
2010-07-20,8.1290
2010-07-19,8.1420
2010-07-16,8.0530
2010-07-15,7.9265
2010-07-14,7.9260
2010-07-13,7.9570
2010-07-12,8.0160
2010-07-09,8.0420
2010-07-08,8.0660
2010-07-07,8.1010
2010-07-06,8.0685
2010-07-05,8.0590
2010-07-02,8.0630
2010-07-01,8.0450
2010-06-30,7.9725
