,Day,Date,Competition,Opposition,Ven,HT,FT,FT,Res,Scorers,Referee,Attendance,Ground,LPT,LPO,TP,TR,OP,OR,Captain,Opp Manager
,,2005-2006,,,,,,,,,,,,,,,,,,,
1,Sat,"Aug 13, 2005",Prem,Portsmouth,(a),1-0,2,0,W,"Griffin 45 og, Defoe 64",B Knight,"20,215",Fratton Park,n/a,,,,,,Robinson,Alain Perron
2,Sat,"Aug 20, 2005",Prem,Middlesbrough,(h),0-0,2,0,W,"Defoe 49, Mido 75",M Atkinson,"35,844",White Hart Lane,n/a,,,,,,Robinson,Steve McClaren
3,Wed,"Aug 24, 2005",Prem,Blackburn Rovers,(a),0-0,0,0,D,,D Gallagher,"22,375",Ewood Park,2,,,,,,Keane,Mark Hughes
4,Sat,"Aug 27, 2005",Prem,Chelsea,(h),0-1,0,2,L,"(Del Horno 39, Duff 71)",R Styles,"36,077",White Hart Lane,6,,,,,,Robinson,Jose Mourinho
5,Sat,"Sep 10, 2005",Prem,Liverpool,(h),0-0,0,0,D,,H Webb,"36,148",White Hart Lane,6,,,,,,King,Rafael Benitez
6,Sat,"Sep 17, 2005",Prem,Aston Villa,(a),0-1,1,1,D,Keane 78 (Milner 4),S Bennett,"33,686",Villa Park,8,,,,,,King,David O'Leary
7,Wed,"Sep 20, 2005",LC2,Grimsby Town,(a),0-0,0,1,L,(Kalala 89),G Laws,"8,206",Blundell Park,n/a,,,,,,King,Russell Slade
8,Mon,"Sep 26, 2005",Prem,Fulham,(h),1-0,1,0,W,Defoe 8,A Wiley,"35,427",White Hart Lane,4,,,,,,King,Chris Coleman
9,Sat,"Oct 1, 2005",Prem,Charlton Athletic,(a),0-1,3,2,W,"King 51, Mido 64, Keane 80, (Bent 25, 48)",P Dowd,"27,111",The Valley,3,,,,,,King,Alan Curbishley
10,Sat,"Oct 15, 2005",Prem,Everton,(h),0-0,2,0,W,"Mido 58, Jenas 63",D Gallagher,"36,267",White Hart Lane,2,,,,,,King,David Moyes
11,Sat,"Oct 22, 2005",Prem,Manchester United,(a),0-1,1,1,D,"Jenas 72, (Silvestre 7)",U Rennie,"67,856",Old Trafford,3,,,,,,King,Alex Ferguson
12,Sat,"Oct 29, 2005",Prem,Arsenal,(h),1-0,1,1,D,"King 17, (Pires 77)",S Bennett,"36,154",White Hart Lane,3,,,,,,King,Arsene Wenger
13,Mon,"Nov 7, 2005",Prem,Bolton Wanderers,(a),0-1,0,1,L,(Nolan 32),H Webb,"26,634",Reebok Stadium,6,,,,,,King,Sam Allardyce
14,Sun,"Nov 20, 2005",Prem,West Ham United,(h),1-0,1,1,D,"Mido 16, (Ferdinand 90)",A Wiley,"36,154",White Hart Lane,6,,,,,,King,Alan Pardew
15,Sat,"Nov 26, 2005",Prem,Wigan Athletic,(a),1-0,2,0,W,"Keane 8, Davids 77",M Riley,"22,611",JJB Stadium,5,,,,,,King,Paul Jewell
16,Sat ,"Dec 3, 2005",Prem,Sunderland,(h),1-1,3,2,W,"Mido 37, Keane 51, Carrick 77, (Whitehead 16, Le Tallec 60)",P Walton,"36,244",White Hart Lane,4,,,,,,King,Mick McCarthy
